player_id,player_name,total_pitches,swings,hits,pulled_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
624413,Pete Alonso,2567,46,22,1.8,0.512,1.326,0.143,1.837,0.798,99.6,35.2,2174,89.4,89.74
657757,Gavin Sheets,1421,25,8,1.8,0.348,0.87,0.105,1.217,0.403,93.4,36,2398,89,89.43
664770,Nathan Lukes,112,2,0,1.8,0,0,0,0,0.371,93.8,41.5,2375,85.7,86.05
657557,Paul DeJong,1424,25,9,1.8,0.36,0.96,0.059,1.32,0.552,94.4,36.3,2330,85.1,85.44
621439,Byron Buxton,1367,24,10,1.8,0.417,1.25,0,1.667,0.577,94.8,36.6,2174,87.8,88.32
641355,Cody Bellinger,2158,38,18,1.8,0.5,1.389,0.091,1.889,0.579,93.9,35.2,2229,87.5,87.68
607461,Matt Beaty,271,5,3,1.8,0.6,0.4,0.6,1,0.202,91.5,36,2303,89.4,89.38
519058,Mike Moustakas,1502,27,10,1.8,0.435,1.304,0,1.739,0.624,96.7,35.8,2278,89.1,89.29
573262,Mike Yastrzemski,1573,28,16,1.8,0.571,1.357,0.294,1.929,0.623,94.7,35.6,2341,87.6,87.7
682626,Francisco Alvarez,1622,29,20,1.8,0.69,1.621,0.357,2.31,0.886,96,33.2,2330,85.7,85.93
593871,Jorge Polanco,1400,25,15,1.8,0.625,1.5,0.286,2.125,0.867,100.5,34.8,2228,88.8,89.04
666160,Mickey Moniak,1161,21,10,1.8,0.476,1.238,0.154,1.714,0.678,96.5,35.5,2312,86.2,86.23
660688,Keibert Ruiz,1887,32,15,1.7,0.484,1.161,0.15,1.645,0.53,92,33.6,2224,89.5,89.87
641531,Hunter Dozier,344,6,2,1.7,0.333,1,0,1.333,0.478,91.3,35.8,2417,86.6,86.52
664247,Kyle Garlick,120,2,2,1.7,1,3,,4,1.613,103.6,30.5,2431,80.9,80.85
608324,Alex Bregman,2789,48,26,1.7,0.553,1.447,0.154,2,0.544,91.8,33.3,2186,88.2,88.27
458015,Joey Votto,938,16,9,1.7,0.563,1.688,0,2.25,0.861,101.1,35.9,2342,90.2,90.56
676369,Nelson Velázquez,704,12,9,1.7,0.75,2.25,0,3,1.143,100.3,31,2108,87.6,87.69
624641,Edmundo Sosa,1126,19,8,1.7,0.421,1,0.154,1.421,0.561,92.1,36.1,2251,85,84.81
596059,Rougned Odor,585,10,4,1.7,0.4,1.2,0,1.6,0.602,94.8,34.6,2373,87.3,87.7
592626,Joc Pederson,1723,30,9,1.7,0.3,0.833,0.087,1.133,0.518,96.3,39.4,2282,88.2,88.66
666971,Lourdes Gurriel Jr.,2216,38,24,1.7,0.632,1.605,0.263,2.237,0.675,94.8,32.5,2203,86.2,86.29
681546,James Outman,2352,40,22,1.7,0.55,1.35,0.25,1.9,0.766,94.4,33.8,2306,86.6,87.09
647304,Josh Naylor,1649,28,18,1.7,0.692,1.615,0.333,2.308,0.914,96.9,30.6,2229,86.1,86.49
666023,Freddy Fermin,921,16,10,1.7,0.625,1.438,0.333,2.063,0.853,96.7,32.3,2202,85,85.63
543309,Kyle Higashioka,1010,17,8,1.7,0.533,1.467,0.1,2,0.741,95.8,32.8,2225,86.3,86.73
669369,Bryce Johnson,176,3,2,1.7,0.667,1,0.5,1.667,0.76,91.9,35,2208,87.8,87
553882,Omar Narváez,576,10,3,1.7,0.333,0.667,0.125,1,0.338,89.5,36.6,2363,89.1,89.34
673237,Yainer Diaz,1298,21,14,1.6,0.7,2.1,0,2.8,0.972,101.8,34.2,2166,86.4,86.21
664913,Seth Brown,1442,23,12,1.6,0.522,1.261,0.214,1.783,0.612,96.3,35,2279,88.6,89.03
