player_id,player_name,total_pitches,swings,hits,straightaway_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
676724,Jared Young,174,3,0,1.7,0.000,0.000,0.000,0.000,0.015,88.3,46,1839,88.4,88.47
553869,Elias Díaz,1984,33,8,1.7,0.258,0.290,0.194,0.548,0.381,91.8,37.4,2183,88.8,89.37
623168,Tyler Heineman,181,3,0,1.7,0.000,0.000,0.000,0.000,0.248,84.9,39.7,2314,93.4,93.53
680777,Ryan Jeffers,1327,22,10,1.7,0.455,0.864,0.294,1.318,0.792,95.9,33.5,2261,86.8,87.08
666624,Christopher Morel,1655,28,11,1.7,0.393,0.821,0.190,1.214,0.663,95.3,36.7,2354,88.3,88.49
649557,Aledmys Díaz,1179,20,2,1.7,0.111,0.167,0.053,0.278,0.353,91.5,36.5,2258,89.2,89.23
457759,Justin Turner,2670,46,9,1.7,0.205,0.273,0.140,0.477,0.393,92.8,35.9,2302,89.6,89.92
553993,Eugenio Suárez,2903,49,12,1.7,0.267,0.511,0.119,0.778,0.589,94.4,36.2,2199,91.1,91.49
669257,Will Smith,2292,40,10,1.7,0.303,0.576,0.118,0.879,0.585,92.8,33.3,2258,87.9,88.3
676801,Chas McCormick,1805,30,8,1.7,0.267,0.533,0.154,0.800,0.676,95.9,34,2283,88.8,88.79
669397,Nick Allen,1168,20,2,1.7,0.105,0.053,0.100,0.158,0.256,87.6,32.4,2286,90.8,90.87
667452,Corey Julks,1326,23,1,1.7,0.043,0.130,0.000,0.174,0.338,88.4,37.3,2267,87,87.23
669065,Kyle Stowers,118,2,0,1.7,0.000,0.000,0.000,0.000,0.281,98.5,40,1964,91.4,92.5
691023,Jordan Walker,1667,29,6,1.7,0.214,0.214,0.148,0.429,0.476,90.8,34.3,2339,87.2,87.27
669720,Austin Hays,2122,37,11,1.7,0.306,0.500,0.212,0.806,0.544,91.1,34,2291,88.4,88.63
665489,Vladimir Guerrero Jr.,2441,42,3,1.7,0.075,0.175,0.025,0.250,0.488,95.3,36.1,2361,89.6,89.54
641943,Joshua Palacios,958,16,3,1.7,0.188,0.500,0.071,0.688,0.52,96.7,35.9,2068,89.6,89.97
643265,Garrett Cooper,1818,31,12,1.7,0.387,0.903,0.136,1.290,0.641,96.5,35.2,2225,88.7,88.94
670223,Matt Mervis,405,7,1,1.7,0.143,0.429,0.000,0.571,0.659,95.8,31.3,2265,89.4,90.13
642715,Willy Adames,2596,45,9,1.7,0.214,0.500,0.053,0.714,0.507,91.9,36.4,2273,89.4,89.86
607680,Kevin Pillar,756,13,2,1.7,0.182,0.364,0.083,0.545,0.316,95.1,37,2216,87.2,87.65
514888,Jose Altuve,1557,26,7,1.7,0.280,0.600,0.136,0.880,0.602,94.2,35.8,2307,86.4,86.45
462101,Elvis Andrus,1592,27,4,1.7,0.154,0.115,0.115,0.269,0.248,87,37.3,2280,88.6,88.98
686469,Vinnie Pasquantino,1013,17,2,1.7,0.118,0.235,0.063,0.353,0.325,91.6,33.6,2085,86.8,87.03
543543,Brad Miller,291,5,0,1.7,0.000,0.000,0.000,0.000,0.161,93.5,36.6,2367,92.6,92.38
664874,Seby Zavala,763,13,0,1.7,0.000,0.000,0.000,0.000,0.134,90.6,39,2272,84.6,84.44
663538,Nico Hoerner,2539,42,6,1.7,0.143,0.143,0.100,0.286,0.217,88.6,35,2197,90,90.38
669134,Luis Campusano,601,10,2,1.7,0.222,0.444,0.111,0.667,0.478,94.4,32,2225,88.2,87.91
683737,Michael Busch,353,6,1,1.7,0.200,0.600,0.000,0.800,0.296,89.9,39.5,2243,89.7,90.63
669003,Garrett Mitchell,289,5,0,1.7,0.000,0.000,0.000,0.000,0.238,92,38.4,1940,88.1,88.78
696100,Hunter Goodman,293,5,0,1.7,0.000,0.000,0.000,0.000,0.301,91.7,38.6,2321,87.2,88.04
641796,Tim Locastro,238,4,1,1.7,0.250,0.750,0.000,1.000,0.621,93.3,38.3,2248,93.1,92.65
656896,Emmanuel Rivera,1132,19,2,1.7,0.111,0.167,0.056,0.278,0.39,94.8,36,2293,87.9,87.93
656582,Connor Joe,1983,34,7,1.7,0.206,0.382,0.129,0.588,0.46,92.1,37.9,2156,89.6,89.83
677800,Wilyer Abreu,361,6,1,1.7,0.167,0.167,0.167,0.333,0.6,89.8,33.2,2299,92,92.12
668715,Spencer Steer,2684,45,11,1.7,0.250,0.386,0.150,0.636,0.45,90.4,34.8,2238,86.2,86.5
668709,JJ Bleday,1213,21,3,1.7,0.150,0.450,0.000,0.600,0.444,94.4,34.4,2275,90.5,90.8
670042,Luke Raley,1545,24,9,1.6,0.391,0.826,0.167,1.217,0.872,95.3,33.2,2229,90.7,90.93
677347,Kyren Paris,189,3,0,1.6,0.000,0.000,0.000,0.000,0.491,97.5,33.7,2323,90.9,90.8
641432,Willie Calhoun,562,9,0,1.6,0.000,0.000,0.000,0.000,0.151,92.4,34.7,2266,88.4,89.29
543939,Kolten Wong,984,16,2,1.6,0.133,0.067,0.125,0.200,0.306,87.9,34.8,2191,89.5,89.96
669911,Michael Toglia,580,9,1,1.6,0.111,0.000,0.111,0.111,0.337,90.6,39.8,2140,89.1,89.51
687952,Christian Encarnacion-Strand,936,15,3,1.6,0.200,0.600,0.000,0.800,0.337,94.3,38.7,2253,87.6,87.9
644433,Chadwick Tromp,62,1,0,1.6,0.000,0.000,0.000,0.000,0.021,89.7,34,2223,89.1,89.6
672275,Patrick Bailey,1411,22,6,1.6,0.273,0.455,0.200,0.727,0.722,93.1,32.8,2165,88.7,89.02
502671,Paul Goldschmidt,2847,45,10,1.6,0.222,0.511,0.079,0.733,0.681,95.4,34.2,2283,89.4,89.59
660757,Oscar Gonzalez,687,11,2,1.6,0.200,0.000,0.182,0.200,0.456,90.6,31.3,2152,85.5,85.85
672695,Geraldo Perdomo,2064,32,3,1.6,0.097,0.000,0.094,0.097,0.194,87.2,34.7,2264,90.3,90.65
677551,Wander Franco,1901,30,4,1.6,0.138,0.310,0.037,0.448,0.526,93.8,35.3,2220,88.7,88.87
444482,David Peralta,1530,25,4,1.6,0.174,0.130,0.125,0.304,0.319,88.8,35.1,2280,88.1,88.78
630105,Jake Cronenworth,2060,33,3,1.6,0.097,0.161,0.063,0.258,0.328,90.6,34.3,2243,87.2,87.22
545121,Ildemaro Vargas,1024,16,1,1.6,0.063,0.125,0.063,0.188,0.189,90.4,40.2,2219,89.6,89.96
595777,Jurickson Profar,2104,34,6,1.6,0.194,0.129,0.152,0.323,0.293,86.7,36.4,2253,88.9,89.52
663611,Nick Madrigal,1065,17,3,1.6,0.176,0.059,0.176,0.235,0.201,83.3,36.4,2394,88.7,88.52
669289,Santiago Espinal,989,16,2,1.6,0.133,0.133,0.125,0.267,0.205,89.2,38.3,2188,89.6,89.74
679529,Spencer Torkelson,2814,44,9,1.6,0.209,0.163,0.186,0.372,0.505,93.5,36,2275,89.4,89.84
668731,Akil Baddoo,1415,23,4,1.6,0.174,0.304,0.095,0.478,0.581,93.1,34.7,2257,90.1,90.87
676059,Jordan Westburg,869,14,4,1.6,0.308,0.538,0.167,0.846,0.501,93,35.5,2330,88.1,88.48
455117,Martín Maldonado,1584,26,4,1.6,0.154,0.192,0.120,0.346,0.512,94.1,37.3,2295,88,88.24
607732,Jacob Stallings,1084,17,2,1.6,0.118,0.235,0.063,0.353,0.474,95.9,31.8,2311,91,91.02
669242,Tommy Edman,1809,29,1,1.6,0.036,0.107,0.000,0.143,0.244,90.9,36.7,2208,87.7,87.7
681807,David Fry,431,7,2,1.6,0.286,0.143,0.286,0.429,0.443,92.1,36.4,2211,89.6,89.79
608348,Carson Kelly,559,9,0,1.6,0.000,0.000,0.000,0.000,0.104,88.8,40.4,2365,89,89.06
656541,Sam Hilliard,312,5,1,1.6,0.200,0.600,0.000,0.800,0.377,95.6,41,2327,81.2,81.7
677008,Heston Kjerstad,124,2,0,1.6,0.000,0.000,0.000,0.000,0.811,97.1,30,2434,80,79.45
665804,Miguel Amaya,624,10,1,1.6,0.100,0.000,0.100,0.100,0.431,89.9,38.1,2194,90.7,91.16
683021,Michael Stefanic,253,4,0,1.6,0.000,0.000,0.000,0.000,0.167,93.6,29,2291,88.8,88.55
605137,Josh Bell,2428,40,10,1.6,0.256,0.513,0.118,0.769,0.56,93.6,34,2289,88.7,88.85
668930,Brice Turang,1795,28,5,1.6,0.179,0.143,0.148,0.321,0.399,88.5,36.4,2276,88,88.55
666163,Ben Rortvedt,322,5,0,1.6,0.000,0.000,0.000,0.000,0.149,87.5,30.6,2278,92.2,92.92
664034,Ty France,2425,39,7,1.6,0.184,0.105,0.158,0.289,0.498,89.7,35,2307,89.3,89.5
680776,Jarren Duran,1397,23,8,1.6,0.381,0.524,0.250,0.905,0.673,93.1,31.9,2165,85.5,85.97
656669,Jordan Luplow,380,6,3,1.6,0.500,0.667,0.400,1.167,0.596,93.4,35.7,2197,88.3,88.37
677951,Bobby Witt Jr.,2701,43,9,1.6,0.225,0.500,0.081,0.725,0.696,95.9,34.4,2329,88.5,88.97
474832,Brandon Belt,1801,28,9,1.6,0.333,0.741,0.136,1.074,0.491,93.6,35.8,2140,87.5,87.7
542208,Carlos Pérez,738,12,1,1.6,0.091,0.000,0.083,0.091,0.23,92,37.7,2221,92,92.03
665839,Enmanuel Valdez,610,10,1,1.6,0.100,0.300,0.000,0.400,0.55,94.7,35.4,2231,92,92.26
680757,Steven Kwan,2843,46,6,1.6,0.136,0.091,0.111,0.227,0.248,85.7,35.6,2280,89.8,89.97
