Name,Cluster,NodeColor,NodeSize,BsR,Spd,50th_max_velo,Brls/BBE%,Swing%,SwStr%,HardHit%,HR/FB%,Z-Swing%,Z-Contact%,O-Swing%,O-Contact%
Leody Taveras,7,purple,490,2.7,5.3,100.6,7.2,49.1,11.0,42.4,10.4,71.6,86.9,32.3,62.1
Lourdes Gurriel Jr.,7,purple,530,0.1,3.9,99.9,8.4,49.0,8.1,46.0,15.0,70.0,92.3,33.4,69.9
Matt Olson,6,orange,800,0.2,3.1,104.8,16.4,46.9,11.9,55.1,27.8,73.5,77.7,29.5,69.5
Masataka Yoshida,4,magenta,545,-1.9,4.9,100.1,6.6,43.3,7.3,40.6,12.2,59.9,88.7,29.3,73.4
Mark Canha,4,magenta,555,1.0,4.4,99.0,4.7,41.5,7.1,36.7,7.6,61.1,89.5,26.7,71.5
Pete Alonso,1,green,605,-0.6,3.8,102.3,14.7,43.7,10.3,39.9,22.9,64.1,84.6,30.2,64.7
Brent Rooker Jr.,5,gold,635,-0.7,3.3,102.7,15.6,46.1,16.2,49.5,21.6,66.4,78.6,32.0,44.9
Thairo Estrada,3,teal,505,1.9,5.7,97.9,4.8,51.1,10.4,33.7,10.9,67.8,92.1,40.0,65.7
Ke'Bryan Hayes,7,purple,505,-0.1,5.7,101.7,7.4,45.5,8.6,48.4,9.8,62.7,92.5,33.3,65.6
Bo Bichette,7,purple,625,-1.4,3.6,101.7,9.6,56.6,10.3,44.9,16.5,78.4,90.7,40.8,69.4
Zach McKinstry,3,teal,405,1.1,6.0,97.7,7.6,47.0,8.5,33.2,5.9,69.1,90.9,30.6,66.9
Matt Vierling,4,magenta,495,-0.2,4.7,100.6,4.6,44.2,7.2,42.0,8.8,61.3,90.1,30.6,73.4
Enrique Hernández,3,teal,360,-1.0,3.3,97.8,4.6,46.7,10.2,33.4,6.7,68.6,87.2,30.7,63.2
Lane Thomas,7,purple,545,1.7,6.0,100.2,9.6,43.6,9.0,40.5,16.4,62.1,89.8,30.6,64.4
Myles Straw,8,brown,345,3.3,5.9,95.1,0.5,43.8,5.1,23.1,0.9,62.0,91.4,27.1,82.2
Juan Soto,6,orange,775,-0.9,3.5,104.5,13.0,35.7,6.3,55.3,24.5,60.2,89.9,20.0,67.6
Jorge Soler,1,green,630,-2.9,1.8,103.1,15.0,44.2,11.0,48.0,21.2,68.7,85.4,29.2,60.1
Javier Báez,9,blue,305,2.3,6.5,100.2,5.1,54.7,16.7,38.8,7.3,69.3,82.0,46.0,58.2
Ryan McMahon,2,red,440,-3.1,3.9,102.0,11.4,47.2,14.2,44.2,19.2,69.0,76.2,30.1,58.7
Salvador Perez,9,blue,430,-5.2,1.2,101.4,8.7,60.1,17.0,43.6,13.7,77.5,83.9,49.5,60.2
Austin Riley,1,green,635,0.7,4.1,103.4,13.9,48.2,12.4,48.8,19.4,71.9,83.1,31.0,59.6
Willy Adames,7,purple,470,-1.0,3.5,99.1,12.4,49.9,14.2,36.1,13.6,73.7,83.5,35.6,56.5
Francisco Lindor,4,magenta,605,3.7,6.4,100.8,10.4,48.1,9.9,43.9,14.4,73.0,87.3,30.5,66.1
Joey Meneses,7,purple,480,-5.2,1.6,99.9,5.4,47.6,10.2,41.7,8.6,67.1,89.2,34.3,64.4
Adolis García,5,gold,620,1.4,4.5,102.9,16.1,48.6,14.4,49.7,21.5,74.3,78.9,33.0,58.5
Maikel Garcia,7,purple,420,1.3,6.3,101.5,3.9,42.9,7.7,50.6,4.1,65.7,87.7,24.4,69.8
Jonathan India,4,magenta,495,2.6,5.0,99.7,7.7,38.6,7.8,38.4,12.2,59.6,87.8,22.2,62.7
Anthony Volpe,7,purple,420,3.4,6.2,99.5,9.0,47.6,12.5,42.7,15.2,68.5,83.9,32.0,57.7
Kyle Schwarber,6,orange,595,-4.5,2.2,103.4,16.4,37.6,11.2,48.5,25.5,57.3,80.2,24.1,54.2
Ty France,7,purple,520,-4.3,2.5,99.3,6.8,53.2,10.7,38.4,7.3,74.7,91.5,37.9,63.8
Paul Goldschmidt,1,green,610,0.1,3.6,102.4,11.9,43.9,10.8,50.7,15.4,63.8,79.8,29.1,68.2
Mookie Betts,6,orange,835,0.7,4.7,100.9,12.5,38.1,5.8,48.1,16.7,63.0,93.9,20.0,64.3
Brandon Nimmo,0,pink,650,-3.4,4.0,101.5,9.5,42.3,8.1,47.7,13.6,64.5,88.1,24.0,64.8
Tyler Stephenson,5,gold,425,-2.3,2.7,100.0,7.6,42.6,10.9,43.2,13.7,63.3,85.0,27.5,56.4
William Contreras,1,green,620,-1.6,4.0,103.2,9.4,43.2,11.1,48.4,14.2,64.1,81.6,27.9,61.9
Yandy Díaz,6,orange,820,-4.4,1.8,104.3,9.5,42.6,7.0,54.0,17.7,68.5,90.1,22.8,68.1
Jurickson Profar,3,teal,380,-2.5,2.9,97.2,4.0,47.1,8.5,31.7,6.5,72.4,89.7,27.7,66.4
Ha-Seong Kim,8,brown,560,4.2,5.1,96.6,4.3,38.5,6.0,26.2,10.5,57.2,88.2,23.0,76.3
Gunnar Henderson,1,green,615,5.8,6.9,102.7,11.4,46.8,11.4,51.7,19.3,69.5,82.7,29.0,62.4
Gleyber Torres,4,magenta,615,-1.3,4.3,99.6,7.9,46.7,9.0,40.3,12.6,71.1,87.8,29.5,68.7
Bryan De La Cruz,7,purple,460,-3.7,2.5,100.3,8.8,50.0,13.4,42.4,12.0,72.0,80.5,35.8,63.6
Spencer Steer,4,magenta,590,-0.5,4.7,99.2,6.7,43.8,9.5,37.1,12.0,65.1,85.3,27.7,65.9
Seiya Suzuki,0,pink,630,-2.0,4.5,102.2,10.5,40.9,7.9,48.0,14.8,62.4,86.5,23.5,68.6
