Name,player_id,Age,Team,Season,Cluster,PA,wRC+,xwOBA,OFF,xBA,K%,BB%,P/PA,SwStr%,50th_max_velo,Brls/BBE%,HardHit%,HR/FB%,Spd,BsR,GB%,LD%,FB%,IFH%,Pull%,Oppo%,Swing%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,LA,HR,SB,Meatball_Swing%,F_Strike%,Solid_Contact%
Jake Cronenworth,630105,29,SDP,2023,10,522,92,0.305,-2.7,0.238,18.6,8.8,3.95,6.4,97.7,4.4,33.2,6.8,5.8,2.4,37.2,22.2,40.6,8.2,36.2,26.7,47.3,31.0,74.9,67.3,93.1,15.0,10,6,67.5,60.7,8.4
Ronald Acuña Jr.,660670,25,ATL,2023,7,735,170,0.46,72.9,0.357,11.4,10.9,3.79,7.8,106.4,15.3,55.0,24.0,7.3,8.8,49.5,20.1,30.4,8.3,39.7,24.7,46.2,26.8,73.8,72.8,87.8,7.4,41,73,83.7,58.7,9.1
Whit Merrifield,593160,34,TOR,2023,10,592,93,0.276,-3.5,0.242,17.1,6.1,3.72,9.1,94.9,2.4,24.1,6.5,4.5,1.3,40.4,22.2,37.5,9.3,34.3,27.9,50.9,36.4,74.1,70.2,87.7,14.4,11,26,74.1,65.9,5.3
J.T. Realmuto,592663,32,PHI,2023,7,540,102,0.334,0.8,0.254,25.6,6.5,3.88,12.2,101.3,11.2,42.7,13.2,6.4,-0.4,37.6,19.9,42.4,10.4,43.3,23.9,50.3,34.1,63.8,72.0,83.4,16.6,20,16,78.0,59.8,7.0
Anthony Santander,623993,28,BAL,2023,9,656,119,0.319,14.5,0.237,23.2,8.4,4.21,10.4,101.7,10.2,46.1,12.7,3.5,-0.7,35.0,15.3,49.7,4.5,46.1,21.2,49.1,37.7,70.8,67.8,85.9,20.2,28,5,72.2,62.7,8.4
Daulton Varsho,662139,26,TOR,2023,6,581,85,0.302,-7.9,0.232,23.2,7.7,3.98,10.5,99.9,7.3,36.0,11.2,5.4,2.3,32.5,20.3,47.2,5.7,50.8,23.0,49.4,32.4,64.1,71.1,87.1,20.5,20,16,80.7,61.3,7.3
Amed Rosario,642708,27,- - -,2023,2,545,88,0.305,-7.0,0.271,18.2,5.3,3.63,11.4,99.5,3.4,39.4,4.6,7.3,0.6,47.8,20.8,31.4,9.6,32.9,27.5,53.4,42.9,68.5,69.9,88.1,7.6,6,15,75.0,67.2,5.8
Eddie Rosario,592696,31,ATL,2023,4,516,100,0.317,-2.1,0.254,23.6,6.6,3.7,15.7,98.6,9.5,35.1,15.6,3.7,-1.9,40.1,22.1,37.8,6.3,44.3,19.8,57.1,45.9,64.5,74.3,79.8,14.5,21,3,79.0,64.9,5.6
Ketel Marte,606466,29,ARI,2023,6,650,127,0.342,21.6,0.266,16.8,10.9,3.82,8.5,101.6,8.0,42.8,14.9,5.8,0.0,44.8,19.0,36.2,7.7,44.1,21.5,45.4,27.7,67.0,70.1,89.0,10.7,25,8,75.7,60.2,6.0
Spencer Torkelson,679529,23,DET,2023,9,684,107,0.352,5.4,0.253,25.0,9.8,4.11,10.3,102.7,14.1,50.5,15.0,3.3,0.1,34.5,18.6,46.8,7.9,47.7,23.9,46.3,27.7,62.1,70.2,85.5,17.1,31,3,77.3,60.6,7.0
Nick Castellanos,592206,31,PHI,2023,4,671,109,0.32,4.6,0.258,27.6,5.4,3.62,18.7,100.4,10.3,43.0,17.6,4.4,-2.8,41.2,21.9,36.9,7.6,47.9,22.8,56.2,42.8,49.6,77.7,81.5,14.4,29,11,86.7,69.0,7.4
Teoscar Hernández,606192,30,SEA,2023,4,678,105,0.336,-0.6,0.258,31.1,5.6,3.94,17.8,103.0,13.8,49.4,16.6,3.7,-4.4,43.2,19.5,37.3,8.8,38.2,25.4,53.7,38.5,49.8,74.9,79.1,12.3,26,7,80.0,65.3,6.4
Max Muncy,571970,32,LAD,2023,8,579,118,0.364,12.0,0.235,26.4,14.7,4.29,11.0,101.3,14.6,46.0,21.8,2.9,-1.1,33.4,17.3,49.3,4.5,53.1,18.5,39.2,26.0,57.8,59.6,81.4,21.7,36,1,65.7,58.7,8.4
Jack Suwinski,669261,24,PIT,2023,8,534,112,0.346,10.4,0.218,32.2,14.0,4.27,10.9,102.2,15.7,43.4,17.3,5.1,2.1,27.9,18.6,53.6,12.8,41.6,21.7,38.9,22.0,52.7,62.5,81.4,22.4,26,13,75.0,53.8,7.5
Marcell Ozuna,542303,32,ATL,2023,3,592,139,0.396,26.6,0.283,22.6,9.6,4.0,12.2,103.3,16.6,49.0,24.7,1.7,-2.1,39.7,19.6,40.7,3.8,43.2,28.1,48.5,32.5,59.5,71.9,85.1,15.6,40,0,84.8,59.9,6.5
Hunter Renfroe,592669,31,- - -,2023,7,548,92,0.289,-6.8,0.225,22.8,8.0,3.84,12.3,100.5,6.1,38.8,13.2,1.3,-1.6,42.6,17.3,40.2,4.4,49.2,18.4,50.9,36.4,62.5,72.6,85.8,15.0,20,0,82.8,61.9,6.9
Vladimir Guerrero Jr.,665489,24,TOR,2023,7,682,118,0.378,10.5,0.299,14.7,9.8,3.58,10.8,104.1,11.1,49.2,14.5,2.4,-4.2,46.2,18.4,35.4,3.4,42.3,22.7,50.6,32.5,64.6,76.8,87.3,10.5,26,5,78.0,62.1,6.1
Bryson Stott,681082,25,PHI,2023,10,640,101,0.309,5.8,0.267,15.6,6.1,4.16,6.0,97.4,4.7,35.2,9.4,6.0,5.0,46.4,20.9,32.7,7.5,33.0,32.2,44.5,32.3,80.3,58.9,90.7,10.2,15,31,65.6,60.3,5.3
Brandon Drury,592273,30,LAA,2023,4,523,114,0.318,6.0,0.252,26.0,4.8,3.75,14.5,101.8,11.0,46.3,19.1,2.9,-2.8,42.4,19.2,38.4,6.7,41.5,22.9,51.7,38.3,56.4,70.6,84.0,11.8,26,0,82.1,62.7,7.6
TJ Friedl Jr.,670770,27,CIN,2023,1,556,116,0.289,17.4,0.24,16.2,8.5,3.95,6.8,96.4,3.2,27.4,11.4,7.2,6.1,38.5,19.6,41.9,4.8,44.5,22.0,41.3,27.7,71.5,58.1,90.5,16.1,18,27,68.7,60.7,2.2
Austin Hays,669720,27,BAL,2023,7,566,112,0.309,6.9,0.242,24.9,6.7,3.75,12.3,100.5,8.9,40.1,11.0,4.3,-1.3,45.1,16.9,38.0,7.5,40.6,24.2,46.5,33.6,55.9,65.3,86.7,10.4,16,5,72.0,62.8,7.6
Isaac Paredes,670623,24,TBR,2023,1,571,137,0.315,23.2,0.23,18.2,10.2,4.14,7.9,96.4,5.9,28.3,16.9,1.9,-1.9,31.9,21.1,47.0,6.5,54.5,18.0,45.7,32.0,71.6,67.8,91.3,22.2,31,1,71.7,58.7,5.9
Ezequiel Tovar,678662,21,COL,2023,2,615,70,0.291,-23.5,0.248,27.0,4.1,3.72,17.1,99.0,8.1,35.7,10.6,5.5,-0.8,42.7,23.5,33.8,5.1,33.6,27.1,59.3,45.4,55.7,81.0,84.7,12.6,15,11,89.0,66.3,3.6
Luis Arraez,650333,26,MIA,2023,5,617,132,0.354,23.1,0.329,5.5,5.7,3.5,3.1,95.7,3.5,25.2,6.5,2.9,-1.4,42.9,28.5,28.7,2.2,29.6,31.3,50.8,35.7,91.5,68.8,95.3,11.5,10,3,77.2,60.6,3.7
José Ramírez,608070,30,CLE,2023,6,691,123,0.359,21.4,0.299,10.6,10.6,3.78,6.7,100.1,7.0,40.3,10.3,5.7,2.4,34.7,22.4,42.8,6.3,51.1,18.9,46.6,30.9,75.0,70.3,92.5,18.0,24,28,71.3,54.6,6.3
Ian Happ,664023,28,CHC,2023,6,691,118,0.35,16.2,0.254,22.1,14.3,4.14,10.2,99.7,9.0,39.0,13.1,5.0,1.1,41.7,21.3,37.0,6.7,37.6,25.6,44.4,26.8,63.3,68.7,84.5,13.0,21,14,80.6,59.5,5.5
Steven Kwan,680757,25,CLE,2023,5,718,100,0.317,4.4,0.282,10.4,9.7,3.96,3.9,94.1,1.1,18.8,3.0,6.3,4.3,45.0,25.3,29.7,5.5,30.0,31.4,41.0,24.8,79.7,60.4,95.7,10.7,5,21,65.4,61.9,2.8
Luis Robert Jr.,673357,25,CHW,2023,4,595,128,0.347,20.0,0.259,28.9,5.0,3.7,18.3,101.8,15.2,41.7,23.0,5.7,-0.1,36.4,19.7,43.9,10.2,46.8,22.9,58.1,43.3,51.9,79.9,81.9,16.1,38,20,90.3,69.4,5.6
CJ Abrams,682928,22,WSN,2023,2,614,90,0.304,1.7,0.247,19.2,5.2,3.6,10.3,98.8,6.9,35.7,10.7,8.4,9.2,43.7,18.2,38.1,8.8,37.5,23.7,53.0,38.6,70.0,72.3,87.9,13.5,18,47,79.7,64.4,7.5
Josh Bell,605137,30,- - -,2023,7,617,105,0.345,-1.1,0.263,21.7,10.2,3.94,10.9,101.6,10.1,42.6,15.5,0.7,-4.6,48.3,17.5,34.1,6.5,45.7,22.4,47.6,31.1,62.6,73.5,86.7,9.3,22,0,81.5,57.9,5.3
Freddie Freeman,518692,33,LAD,2023,7,730,163,0.408,61.3,0.323,16.6,9.9,3.77,9.4,100.6,11.1,41.8,15.0,6.0,4.5,35.3,27.6,37.0,3.3,36.5,27.8,51.0,30.1,68.8,79.2,88.0,15.2,29,23,91.5,62.0,8.8
Nathaniel Lowe,663993,27,TEX,2023,10,724,114,0.339,7.7,0.263,22.8,12.8,4.2,7.9,101.1,6.5,41.4,12.3,3.0,-4.9,47.7,22.3,29.9,5.9,29.1,30.8,43.8,26.0,67.5,68.6,89.6,7.2,17,1,78.6,56.5,6.3
Carlos Santana,467793,37,- - -,2023,6,619,101,0.308,1.3,0.24,16.8,10.5,3.98,9.3,99.4,6.7,36.2,13.5,4.0,0.6,43.8,18.2,38.0,3.6,49.3,19.8,45.3,27.4,69.1,70.2,85.1,12.8,23,6,78.5,56.2,4.7
Dominic Smith,642086,28,WSN,2023,10,586,90,0.32,-13.0,0.256,15.5,8.0,3.77,9.0,97.2,6.6,30.8,7.3,2.2,-5.9,42.5,20.1,37.4,6.5,38.4,26.5,49.0,33.9,73.0,69.7,87.5,12.8,12,1,75.9,64.6,3.7
Randy Arozarena,668227,28,TBR,2023,3,654,126,0.351,20.7,0.243,23.9,12.2,4.1,11.9,102.1,12.3,48.0,14.8,5.6,0.5,43.0,18.1,38.9,13.5,41.0,22.8,43.0,30.0,63.7,63.5,78.9,11.3,23,22,72.9,60.6,7.8
Jeff McNeil,643446,31,NYM,2023,10,648,100,0.294,0.9,0.251,10.0,6.0,3.38,6.4,96.0,1.3,27.0,5.1,5.2,0.6,41.7,20.1,38.2,7.9,41.3,25.7,52.7,33.9,77.4,76.6,93.6,14.4,10,10,85.1,63.4,5.7
Orlando Arcia,606115,28,ATL,2023,7,533,99,0.307,-2.9,0.247,19.1,7.3,4.0,10.4,99.2,6.9,40.9,14.8,2.3,-2.3,53.7,16.7,29.6,6.2,43.2,22.6,46.1,28.8,64.3,68.8,84.4,5.4,17,1,75.7,63.2,4.6
Tim Anderson,641313,30,CHW,2023,2,524,60,0.279,-23.5,0.252,23.3,5.0,3.71,12.3,99.2,3.0,39.1,1.6,5.2,1.6,61.1,22.0,16.9,5.7,33.5,27.9,53.5,38.6,64.1,72.6,85.6,2.0,1,13,76.7,65.6,5.9
Trent Grisham,663757,26,SDP,2023,1,555,91,0.322,-4.9,0.218,27.7,13.5,4.22,10.2,100.7,11.8,39.9,9.9,5.0,1.5,35.3,21.9,42.8,4.6,42.8,21.9,41.0,24.3,61.0,61.7,82.0,18.3,13,15,79.1,55.1,7.5
Cody Bellinger,641355,27,CHC,2023,6,556,134,0.327,26.1,0.268,15.6,7.2,3.88,9.4,97.7,6.1,31.4,14.1,5.5,2.4,35.8,20.8,43.4,8.6,43.6,19.1,49.9,35.3,72.0,68.7,87.4,17.2,26,20,80.1,62.3,5.4
J.P. Crawford,641487,28,SEA,2023,1,638,134,0.34,26.0,0.26,19.6,14.7,4.12,6.3,99.1,4.8,36.2,12.3,2.7,-0.1,39.1,23.2,37.7,5.0,43.0,22.0,38.5,21.9,69.9,60.4,90.3,15.1,19,2,74.2,53.1,6.5
Bobby Witt Jr.,677951,23,KCR,2023,7,694,115,0.369,19.9,0.294,17.4,5.8,3.89,10.5,102.1,11.5,45.4,13.1,8.1,7.6,38.0,18.4,43.5,7.5,37.8,30.1,50.4,34.4,68.4,73.3,86.2,15.7,30,49,83.6,62.3,7.2
José Abreu,547989,36,HOU,2023,7,594,86,0.314,-12.1,0.248,21.9,7.1,4.04,12.1,100.8,8.7,41.6,11.9,2.0,-2.5,45.0,18.8,36.3,7.0,33.9,25.7,50.2,38.9,64.2,66.3,85.6,10.8,18,0,73.3,59.2,4.6
Rafael Devers,646240,26,BOS,2023,4,656,124,0.38,15.5,0.282,19.2,9.5,3.93,12.6,104.5,12.7,54.7,18.4,3.0,-3.2,42.8,18.0,39.3,6.2,41.1,24.1,52.5,36.1,70.8,79.1,79.8,12.4,33,5,82.5,59.6,8.5
Trea Turner,607208,30,PHI,2023,4,691,108,0.33,16.2,0.266,21.7,6.5,3.87,14.9,100.3,8.4,42.2,13.5,7.4,9.4,39.6,21.0,39.4,11.9,39.6,23.5,53.1,38.3,55.9,76.6,84.6,13.0,26,30,83.2,64.9,6.9
Carlos Correa,621043,28,MIN,2023,6,580,96,0.33,-5.5,0.253,22.6,10.2,3.89,9.9,102.5,9.6,45.9,13.7,1.9,-2.9,45.9,20.2,33.9,3.4,38.6,25.9,43.6,30.1,63.8,63.8,86.9,10.6,18,0,65.2,60.4,7.0
MJ Melendez Jr.,669004,24,KCR,2023,3,602,92,0.325,-5.4,0.235,28.2,10.3,4.05,15.0,101.4,11.4,49.6,10.0,4.5,0.5,36.0,20.4,43.6,6.1,45.8,21.8,47.8,29.8,54.3,72.4,76.8,16.9,16,6,86.7,64.8,8.2
Andrew Benintendi,643217,28,CHW,2023,10,621,87,0.31,-7.8,0.27,14.3,8.4,3.79,8.4,95.5,2.9,26.8,3.0,5.0,1.7,39.1,26.2,34.7,4.3,32.5,29.4,48.8,31.8,75.1,70.9,87.2,14.5,5,13,76.7,61.9,3.4
Andrew Vaughn,683734,25,CHW,2023,7,615,103,0.319,-2.4,0.252,21.0,5.9,3.77,10.4,101.7,8.4,46.5,13.3,2.1,-4.5,44.4,19.6,36.0,8.2,39.4,26.9,47.5,34.9,64.0,66.6,89.4,11.2,21,0,70.2,62.8,7.3
Corey Seager,608369,29,TEX,2023,4,536,169,0.412,41.4,0.314,16.4,9.1,3.44,12.6,103.5,15.2,53.2,21.0,2.4,-2.8,40.0,20.3,39.7,5.7,41.5,24.1,55.2,33.6,55.1,85.5,89.5,13.0,33,2,95.9,62.0,11.4
Fernando Tatis Jr.,665487,24,SDP,2023,4,635,113,0.364,13.1,0.281,22.2,8.3,3.68,15.3,102.9,11.0,48.9,17.0,5.9,3.0,47.1,19.2,33.6,6.3,43.6,17.4,54.1,35.7,58.3,81.7,80.3,11.0,25,29,93.0,63.1,7.8
Christian Walker,572233,32,ARI,2023,3,661,120,0.339,17.8,0.251,19.2,9.4,4.04,11.9,100.6,11.2,40.1,15.9,4.8,1.2,38.2,16.8,44.9,4.0,42.8,24.0,48.5,30.4,58.7,74.0,85.2,15.8,33,11,77.6,60.4,6.0
Justin Turner,457759,38,BOS,2023,1,626,114,0.336,5.6,0.26,17.6,8.1,4.27,7.0,98.6,5.7,39.0,12.2,3.1,-5.2,35.7,22.9,41.4,7.4,41.0,26.4,45.0,29.6,73.2,65.1,91.0,16.5,23,4,74.3,60.7,9.3
Adley Rutschman,668939,25,BAL,2023,1,687,127,0.373,20.4,0.292,14.7,13.4,4.23,5.6,99.6,7.5,38.4,11.8,1.8,-1.9,42.3,23.2,34.6,6.7,38.4,29.3,41.0,27.0,77.1,62.0,92.4,12.6,20,1,65.3,56.5,6.5
Michael Harris II,671739,22,ATL,2023,2,539,115,0.357,14.8,0.304,18.7,4.6,3.63,11.6,103.6,10.1,48.5,14.5,6.1,4.9,47.2,22.2,30.6,3.1,35.8,27.2,52.7,41.6,68.3,68.2,86.2,7.6,18,20,75.5,62.5,5.9
Jeimer Candelario,600869,29,- - -,2023,6,576,117,0.318,12.0,0.236,22.0,9.2,4.05,10.2,99.2,7.8,36.3,14.2,5.3,-0.1,40.1,19.4,40.6,5.9,45.6,22.5,47.3,32.0,65.4,69.9,87.2,14.1,22,8,76.6,57.9,7.3
Alex Verdugo,657077,27,BOS,2023,10,602,98,0.331,-1.9,0.278,15.4,7.5,3.93,5.6,99.1,5.0,37.6,8.4,4.8,-0.5,45.2,21.0,33.8,4.8,38.2,24.5,40.8,25.2,70.2,58.6,94.3,8.8,13,5,69.3,58.4,6.3
Matt Chapman,656305,30,TOR,2023,9,581,110,0.337,6.2,0.23,28.4,10.7,4.22,11.7,103.5,17.1,56.1,9.9,3.7,-0.8,35.0,15.6,49.4,9.9,39.3,23.4,43.3,22.5,59.8,69.2,78.3,18.5,17,4,78.5,60.5,7.8
Shohei Ohtani,660271,28,LAA,2023,3,599,180,0.427,59.6,0.295,23.9,15.2,3.87,13.9,105.7,19.3,53.3,31.2,6.6,2.5,42.3,18.2,39.5,7.3,38.9,24.9,48.0,33.3,56.5,70.7,81.4,13.2,44,20,73.9,57.9,6.4
Corbin Carroll,682998,22,ARI,2023,10,645,133,0.344,38.7,0.268,19.4,8.8,3.77,8.9,101.0,7.6,40.9,15.4,9.3,12.3,43.9,19.0,37.1,7.3,42.7,24.2,45.5,30.5,68.2,67.0,88.5,11.0,25,54,78.3,57.9,7.8
Bryce Harper,547180,30,PHI,2023,4,546,142,0.399,28.2,0.29,21.8,14.7,3.7,16.0,103.8,15.2,46.8,20.4,4.3,-0.3,44.7,24.9,30.5,6.0,37.4,25.4,51.2,36.6,52.8,79.6,83.1,9.1,21,11,91.2,58.2,6.7
Bryan Reynolds,668804,28,PIT,2023,7,640,110,0.36,9.4,0.28,21.6,8.3,3.94,12.5,101.0,11.1,47.1,16.4,5.8,1.4,43.0,24.0,33.0,5.8,39.4,27.4,47.4,30.2,55.0,75.1,85.8,10.9,24,12,86.7,56.9,6.6
Alec Bohm,664761,26,PHI,2023,10,611,105,0.343,0.7,0.29,15.4,6.9,3.69,7.8,100.4,5.7,41.7,12.6,2.9,-3.3,42.3,23.8,33.8,3.5,30.2,29.4,49.9,34.3,74.6,70.1,90.7,11.1,20,4,75.8,60.2,7.0
Manny Machado,592518,30,SDP,2023,7,601,114,0.335,8.2,0.258,18.1,8.3,3.8,11.0,102.4,10.5,45.9,15.3,2.3,-2.4,40.2,15.2,44.5,7.9,38.4,26.6,49.3,32.0,63.7,72.7,85.9,15.0,30,3,77.9,62.3,7.7
Ozzie Albies,645277,26,ATL,2023,7,660,124,0.34,22.9,0.266,16.2,7.0,3.88,10.0,98.7,8.2,38.9,15.6,5.9,3.3,37.8,19.7,42.5,4.8,54.5,15.3,54.6,38.8,69.7,79.5,90.6,16.5,33,13,88.2,56.8,10.5
Jeremy Peña,665161,25,HOU,2023,2,634,96,0.305,-2.0,0.259,20.3,6.8,3.63,13.9,99.1,4.0,35.1,8.5,4.9,0.7,54.3,19.1,26.6,8.7,44.9,21.1,52.9,38.1,53.1,75.4,89.7,5.5,10,13,79.2,64.1,5.3
Marcus Semien,543760,32,TEX,2023,6,753,124,0.333,23.1,0.262,14.6,9.6,3.72,7.8,98.1,6.5,36.8,11.0,5.5,1.3,33.8,19.6,46.5,9.9,49.4,20.2,47.1,25.3,66.2,77.0,91.2,19.1,29,14,85.6,60.9,6.9
Andrés Giménez,665926,24,CLE,2023,2,616,97,0.297,2.2,0.245,18.2,5.2,3.81,12.4,96.7,5.5,27.0,9.2,7.0,4.1,45.3,17.4,37.3,8.1,43.1,24.6,53.9,42.7,68.9,70.4,84.4,13.1,15,30,76.8,59.8,4.2
Lars Nootbaar,663457,25,STL,2023,1,503,118,0.356,13.2,0.265,19.7,14.3,4.12,5.8,100.3,8.8,37.8,13.6,4.9,1.8,49.7,18.9,31.4,4.3,34.7,24.5,35.3,20.4,72.3,54.5,89.1,7.2,14,11,67.5,55.3,5.4
James Outman,681546,26,LAD,2023,3,567,118,0.325,16.3,0.228,31.9,12.0,4.15,15.3,100.0,11.1,39.5,18.4,6.2,3.4,37.5,21.4,41.1,9.6,49.0,21.9,45.9,28.1,45.6,71.7,78.4,15.7,23,16,82.6,57.5,3.9
J.D. Davis,605204,30,SFG,2023,4,546,104,0.323,0.5,0.244,27.8,9.5,3.83,16.5,101.4,9.5,44.4,19.6,2.5,-2.4,52.7,19.8,27.5,4.0,41.3,25.5,53.0,30.3,49.0,82.8,78.2,7.8,18,1,90.1,65.2,6.3
Kyle Tucker,663656,26,HOU,2023,6,674,140,0.386,36.1,0.292,13.6,11.9,3.81,7.5,100.8,10.4,44.5,13.9,6.4,4.0,38.4,19.1,42.5,4.8,44.9,22.2,46.5,25.9,69.6,73.1,90.4,14.8,29,30,85.8,62.5,8.1
Alex Bregman,608324,29,HOU,2023,1,724,125,0.351,17.8,0.266,12.0,12.7,3.85,4.9,98.1,5.4,38.2,10.1,3.7,-4.2,35.4,18.6,46.0,3.7,42.6,22.2,38.7,22.3,74.7,63.3,94.1,17.6,25,3,73.3,60.7,10.1
Nolan Arenado,571448,32,STL,2023,6,612,107,0.32,3.1,0.266,16.5,6.7,3.73,9.1,99.3,7.3,38.1,13.8,2.9,-2.1,38.8,20.8,40.5,6.6,50.1,19.5,48.5,36.8,68.9,67.1,91.9,16.9,26,3,73.4,58.3,6.0
Josh Jung,673962,25,TEX,2023,4,515,110,0.337,2.9,0.26,29.3,5.8,3.84,13.7,101.6,11.9,47.1,17.8,3.0,-3.4,36.5,24.3,39.2,5.0,36.8,23.4,51.9,36.1,58.4,74.2,84.0,15.0,23,1,77.4,66.8,7.9
Tommy Edman,669242,28,STL,2023,10,528,92,0.312,-2.2,0.262,15.9,6.6,3.43,6.6,99.5,5.0,38.6,10.2,7.2,2.8,51.0,16.8,32.2,7.9,43.0,20.7,45.6,31.1,71.6,63.6,94.1,7.5,13,27,76.9,61.9,5.7
Keibert Ruiz,660688,24,WSN,2023,10,562,93,0.322,-10.5,0.274,10.3,5.5,3.36,6.6,97.3,5.8,31.7,9.8,1.6,-5.5,38.5,22.3,39.2,3.9,45.8,20.3,51.1,39.5,78.4,67.0,94.0,15.2,18,1,74.0,60.1,4.9
Jake Burger,669394,27,- - -,2023,4,540,120,0.359,12.7,0.27,27.6,5.9,3.79,17.1,105.0,16.7,49.3,25.4,2.5,-0.8,42.9,18.4,38.6,5.4,49.0,18.2,54.0,41.3,50.6,72.2,82.6,12.3,34,1,82.5,62.6,6.9
Elias Díaz,553869,32,COL,2023,4,526,81,0.296,-14.4,0.245,22.4,6.5,3.77,14.0,100.0,6.2,38.4,10.4,2.2,-1.9,46.8,17.2,36.0,5.2,42.7,22.0,54.8,39.8,60.6,78.3,85.2,12.7,14,1,81.3,62.7,4.3
LaMonte Wade Jr.,664774,29,SFG,2023,1,519,122,0.363,12.4,0.265,18.3,14.6,4.05,7.7,99.5,9.1,39.8,12.3,3.4,-1.5,38.0,20.7,41.3,5.5,43.3,25.2,39.0,20.7,60.8,65.2,89.2,17.5,17,2,71.4,59.1,5.8
Christian Yelich,592885,31,MIL,2023,7,632,122,0.362,24.3,0.284,22.2,12.3,4.05,10.9,103.2,9.3,49.9,20.2,6.0,7.2,57.3,19.8,22.9,5.1,35.3,29.7,45.0,28.0,59.7,70.3,85.3,3.5,19,28,84.4,58.0,6.1
Leody Taveras,665750,24,TEX,2023,2,554,98,0.319,1.1,0.27,21.1,6.3,3.8,11.0,100.6,7.2,42.4,10.4,5.3,2.7,44.2,22.1,33.7,4.5,30.2,29.9,49.1,32.3,62.1,71.6,86.9,10.2,14,14,85.2,62.6,5.5
Lourdes Gurriel Jr.,666971,29,ARI,2023,7,592,106,0.324,4.3,0.264,17.4,5.6,3.74,8.1,99.9,8.4,46.0,15.0,3.9,0.1,43.1,21.3,35.6,5.7,40.0,25.1,49.0,33.4,69.9,70.0,92.3,10.6,24,5,76.8,62.1,6.9
Matt Olson,621566,29,ATL,2023,9,720,160,0.392,54.1,0.264,23.2,14.4,4.29,11.9,104.8,16.4,55.1,27.8,3.1,0.2,38.7,17.8,43.6,2.9,38.2,24.5,46.9,29.5,69.5,73.5,77.7,16.1,54,1,81.4,55.9,9.2
