bad_name,Name,player_id,Season,Age,50th_max_velo,P/PA,b_total_pitches,pa
"McNeil, Jeff",Jeff McNeil,643446,2023,31,96.0,3.38,2193,648
"Arcia, Orlando",Orlando Arcia,606115,2023,28,99.2,4.00,2132,533
"Anderson, Tim",Tim Anderson,641313,2023,30,99.2,3.71,1942,524
"Grisham, Trent",Trent Grisham,663757,2023,26,100.7,4.22,2341,555
"Bellinger, Cody",Cody Bellinger,641355,2023,27,97.7,3.88,2158,556
"Crawford, J.P.",J.P. Crawford,641487,2023,28,99.1,4.12,2629,638
"Witt Jr., Bobby",Bobby Witt Jr.,677951,2023,23,102.1,3.89,2701,694
"Abreu, José",José Abreu,547989,2023,36,100.8,4.04,2400,594
"Devers, Rafael",Rafael Devers,646240,2023,26,104.5,3.93,2579,656
"Turner, Trea",Trea Turner,607208,2023,30,100.3,3.87,2675,691
"Correa, Carlos",Carlos Correa,621043,2023,28,102.5,3.89,2257,580
"Melendez Jr., MJ",MJ Melendez Jr.,669004,2023,24,101.4,4.05,2440,602
"Benintendi, Andrew",Andrew Benintendi,643217,2023,28,95.5,3.79,2351,621
"Vaughn, Andrew",Andrew Vaughn,683734,2023,25,101.7,3.77,2317,615
"Seager, Corey",Corey Seager,608369,2023,29,103.5,3.44,1846,536
"Tatis Jr., Fernando",Fernando Tatis Jr.,665487,2023,24,102.9,3.68,2335,635
"Walker, Christian",Christian Walker,572233,2023,32,100.6,4.04,2671,661
"Turner, Justin",Justin Turner,457759,2023,38,98.6,4.27,2670,626
"Rutschman, Adley",Adley Rutschman,668939,2023,25,99.6,4.23,2904,687
"Harris II, Michael",Michael Harris II,671739,2023,22,103.6,3.63,1954,539
"Candelario, Jeimer",Jeimer Candelario,600869,2023,29,99.2,4.05,2333,576
"Verdugo, Alex",Alex Verdugo,657077,2023,27,99.1,3.93,2364,602
"Chapman, Matt",Matt Chapman,656305,2023,30,103.5,4.22,2451,581
"Ohtani, Shohei",Shohei Ohtani,660271,2023,28,105.7,3.87,2321,599
"Carroll, Corbin",Corbin Carroll,682998,2023,22,101.0,3.77,2431,645
"Harper, Bryce",Bryce Harper,547180,2023,30,103.8,3.70,2021,546
"Reynolds, Bryan",Bryan Reynolds,668804,2023,28,101.0,3.94,2524,640
"Bohm, Alec",Alec Bohm,664761,2023,26,100.4,3.69,2252,611
"Machado, Manny",Manny Machado,592518,2023,30,102.4,3.80,2284,601
"Albies, Ozzie",Ozzie Albies,645277,2023,26,98.7,3.88,2563,660
"Peña, Jeremy",Jeremy Peña,665161,2023,25,99.1,3.63,2299,634
"Semien, Marcus",Marcus Semien,543760,2023,32,98.1,3.72,2799,753
"Giménez, Andrés",Andrés Giménez,665926,2023,24,96.7,3.81,2346,616
"Nootbaar, Lars",Lars Nootbaar,663457,2023,25,100.3,4.12,2074,503
