Name,player_id,year,team,runner_runs
Aaron Hicks,,2023,MLB,0.564880489
Teoscar Hernández,606192,2023,SEA,-3.82531585
Yan Gomes,,2023,CHC,-0.4386954906
Mike Trout,,2023,LAA,0.7291181645
Nick Madrigal,,2023,CHC,-1.344843897
Spencer Torkelson,679529,2023,DET,0.6002756298
Seth Brown,,2023,OAK,-2.152788956
Nolan Gorman,,2023,STL,0.4169869008
Gabriel Arias,,2023,CLE,2.078117495
Oswaldo Cabrera,,2023,NYY,-0.8840270385
Brent Rooker,667670,2023,OAK,-0.6193258002
Julio Rodríguez,677594,2023,SEA,3.27482753
Tyler Stephenson,663886,2023,CIN,-0.8777653429
Willy Adames,642715,2023,MIL,0.3261725461
Brandon Drury,592273,2023,LAA,-1.212692569
Ildemaro Vargas,,2023,WSH,1.062120124
Brendan Donovan,,2023,STL,-0.02215093668
Matt Chapman,656305,2023,TOR,0.2917400609
Bo Bichette,666182,2023,TOR,0.009436113976
Andrew McCutchen,,2023,PIT,-1.396057364
Spencer Steer,668715,2023,CIN,-0.9500392888
Xander Bogaerts,593428,2023,SD,-0.6331603218
Robbie Grossman,,2023,TEX,-0.292780539
Harold Castro,,2023,COL,-0.8122678834
Joey Meneses,608841,2023,WSH,-3.925555759
Zack Gelof,,2023,OAK,0.7857347753
DJ LeMahieu,518934,2023,NYY,-2.933807968
Sean Murphy,,2023,ATL,-0.6642210348
Jorge Soler,624585,2023,MIA,-2.021535779
Yandy Díaz,650490,2023,TB,-2.500940588
Will Benson,,2023,CIN,-0.1107950098
Gabriel Moreno,,2023,AZ,-2.178127675
Jurickson Profar,595777,2023,MLB,-1.655760333
Cal Raleigh,663728,2023,SEA,-1.315532282
Ramón Urías,,2023,BAL,0.9078953346
Tyrone Taylor,,2023,MIL,2.25924887
Jake Fraley,,2023,CIN,-0.1422633512
Jarred Kelenic,,2023,SEA,1.064448715
Luis Robert Jr.,673357,2023,CWS,-1.626315773
Mike Tauchman,,2023,CHC,0.08439210214
Isiah Kiner-Falefa,,2023,NYY,-0.02459463973
Adam Duvall,,2023,BOS,0.4802438538
Marcus Semien,543760,2023,TEX,1.19801476
Alex Bregman,608324,2023,HOU,-2.761783405
Matt Vierling,663837,2023,DET,2.157200323
Wander Franco,,2023,TB,2.040817812
Eloy Jiménez,,2023,CWS,-0.4231698112
Hunter Renfroe,592669,2023,MLB,-0.7420835687
Chas McCormick,,2023,HOU,-0.3034604785
Cody Bellinger,641355,2023,CHC,2.043560128
Brenton Doyle,,2023,COL,1.454528085
Manuel Margot,,2023,TB,-2.030527837
Michael A. Taylor,,2023,MIN,1.366844323
Chris Taylor,,2023,LAD,0.3008998079
Sal Frelick,,2023,MIL,0.1885883793
Garrett Hampson,,2023,MIA,1.029928909
Esteury Ruiz,,2023,OAK,1.350151572
Drew Waters,,2023,KC,0.6633654949
Ryan Mountcastle,,2023,BAL,1.397268872
